fecha,dolar_blue,dolar_oficial,valor,rsi,day_of_week,is_end_of_month,brecha
2017-04-05,15.87,15.362,15.87,34.39493163399041,2,0,0.033068610857961145
2017-04-06,15.87,15.39,15.87,34.394931633990396,3,0,0.03118908382066268
2017-04-07,15.69,15.345,15.69,26.701180722231598,4,0,0.02248289345063531
2017-04-10,15.63,15.21,15.63,24.71648552961824,0,0,0.02761341222879684
2017-04-11,15.69,15.265,15.69,30.29611095480189,1,0,0.027841467409105727
2017-04-12,15.69,15.19,15.69,30.29611095480189,2,0,0.032916392363396975
2017-04-17,15.91,15.2,15.91,47.00012369819964,0,0,0.04671052631578953
2017-04-18,15.87,15.299,15.87,44.89358202255424,1,0,0.0373227008301196
2017-04-19,16.1,15.4,16.1,56.86516810196327,2,0,0.045454545454545525
2017-04-20,16.09,15.389,16.09,56.29256017137445,3,0,0.04555201767496267
2017-04-21,16.09,15.49,16.09,56.29256017137445,4,0,0.03873466752743703
2017-04-24,16.12,15.39,16.12,57.77201599333539,0,0,0.04743339831059132
2017-04-25,16.1,15.42,16.1,56.401356413607566,1,0,0.04409857328145276
2017-04-26,16.06,15.49,16.06,53.65932775516992,2,1,0.03679793415106511
2017-04-27,15.95,15.42,15.95,46.90585877005498,3,1,0.03437094682230865
2017-04-28,15.99,15.4,15.99,49.399798304054315,4,1,0.038311688311688304
2017-05-02,15.97,15.3,15.97,48.18116975987517,1,0,0.043790849673202605
2017-05-03,15.89,15.29,15.89,43.55300346457163,2,0,0.039241334205363076
2017-05-04,15.91,15.31,15.91,44.97601476682487,3,0,0.039190071848465034
2017-05-05,15.91,15.37,15.91,44.97601476682487,4,0,0.03513337670787254
2017-05-08,16.01,15.47,16.01,51.99385834841544,0,0,0.034906270200387904
2017-05-09,15.95,15.525,15.95,48.035207093849024,1,0,0.027375201288244697
2017-05-10,15.94,15.51,15.94,47.38762685188967,2,0,0.027724049000644728
2017-05-11,15.92,15.435,15.92,46.0504690596318,3,0,0.031422092646582404
2017-05-12,15.93,15.44,15.93,46.85791046106577,4,0,0.0317357512953368
2017-05-15,15.97,15.53,15.97,50.07655183524874,0,0,0.028332260141661385
2017-05-16,16.05,15.58,16.05,55.837597685860885,1,0,0.030166880616174625
2017-05-17,16.06,15.61,16.06,56.513135323815455,2,0,0.028827674567584838
2017-05-18,16.2,16.0,16.2,64.66283011605361,3,0,0.012499999999999956
2017-05-19,16.11,16.05,16.11,57.23678420113432,4,0,0.003738317757009266
2017-05-22,16.22,16.185,16.22,62.85207599645583,0,0,0.002162496138399762
2017-05-23,16.28,16.09,16.28,65.51225021345704,1,0,0.011808576755748992
2017-05-24,16.29,16.09,16.29,65.94990063195736,2,0,0.012430080795525126
2017-05-26,16.34,16.01,16.34,68.12775967806108,4,1,0.020612117426608262
2017-05-29,16.41,16.03,16.41,70.9309638780937,0,1,0.0237055520898315
2017-05-30,16.45,16.15,16.45,72.42351001777746,1,1,0.0185758513931889
2017-05-31,16.39,16.1,16.39,66.876645511732,2,1,0.018012422360248394
2017-06-01,16.3,16.06,16.3,59.513559753993924,3,0,0.014943960149439727
2017-06-02,16.32,16.0,16.32,60.552934705326315,4,0,0.020000000000000018
2017-06-05,16.34,15.995,16.34,61.61418566194041,0,0,0.02156924038762117
2017-06-06,16.38,16.01,16.38,63.716635425248334,1,0,0.023110555902560736
2017-06-07,16.36,15.99,16.36,61.89131437390732,2,0,0.02313946216385236
2017-06-08,16.34,15.9,16.34,60.03904193503161,3,0,0.027672955974842737
2017-06-09,16.35,15.91,16.35,60.67279910139124,4,0,0.02765556253928355
2017-06-12,16.41,15.925,16.41,64.32829875584609,0,0,0.03045525902668756
2017-06-13,16.48,15.89,16.48,68.05856328130608,1,0,0.03713027061044681
