fecha,valor,returns,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20
2017-01-02,16.99,,,,,,,,,,,,,
2017-01-03,17.11,0.007062978222483807,,,,,,,,,,,,
2017-01-04,16.96,-0.008766803039158333,0.007062978222483807,,,,,,,,,,,
2017-01-05,16.87,-0.005306603773584939,-0.008766803039158333,0.007062978222483807,,,,,,,,,,
2017-01-06,16.86,-0.0005927682276231083,-0.005306603773584939,-0.008766803039158333,0.007062978222483807,,,,,,,,,
2017-01-09,16.88,0.0011862396204032066,-0.0005927682276231083,-0.005306603773584939,-0.008766803039158333,0.007062978222483807,,,-0.0012833914394958733,0.006091502507229632,,,,
2017-01-10,16.85,-0.0017772511848339612,0.0011862396204032066,-0.0005927682276231083,-0.005306603773584939,-0.008766803039158333,0.007062978222483807,,-0.003051437320959427,0.0039805053354187644,,,,
2017-01-11,16.8,-0.0029673590504450953,-0.0017772511848339612,0.0011862396204032066,-0.0005927682276231083,-0.005306603773584939,-0.008766803039158333,,-0.0018915485232167794,0.002449114362803112,,,,
2017-01-12,16.83,0.0017857142857140573,-0.0029673590504450953,-0.0017772511848339612,0.0011862396204032066,-0.0005927682276231083,-0.005306603773584939,,-0.00047308491135698014,0.0019869643278366254,,,,
2017-01-13,16.79,-0.002376708259061111,0.0017857142857140573,-0.0029673590504450953,-0.0017772511848339612,0.0011862396204032066,-0.0005927682276231083,,-0.0008298729176445807,0.002165933880971406,,,,
2017-01-16,16.81,0.001191185229303171,-0.002376708259061111,0.0017857142857140573,-0.0029673590504450953,-0.0017772511848339612,0.0011862396204032066,,-0.0008288837958645879,0.0021670855822059926,-0.0010561376176802307,0.004316983178358316,,
2017-01-17,16.85,0.002379535990481907,0.001191185229303171,-0.002376708259061111,0.0017857142857140573,-0.0029673590504450953,-0.0017772511848339612,0.007062978222483807,2.4736391985857864e-06,0.0024861526793021655,-0.0015244818408804207,0.00351848202530939,,
2017-01-18,16.88,0.0017804154302669684,0.002379535990481907,0.001191185229303171,-0.002376708259061111,0.0017857142857140573,-0.0029673590504450953,-0.008766803039158333,0.0009520285353409985,0.0019076634191607566,-0.0004697599939378905,0.002555260146605225,,
2017-01-19,16.89,0.0005924170616113944,0.0017804154302669684,0.002379535990481907,0.001191185229303171,-0.002376708259061111,0.0017857142857140573,-0.005306603773584939,0.000713369090520466,0.0018510953319500524,0.00012014208958174288,0.0019153620898954375,,
2017-01-20,16.86,-0.001776198934280715,0.0005924170616113944,0.0017804154302669684,0.002379535990481907,0.001191185229303171,-0.002376708259061111,-0.0005927682276231083,0.0008334709554765451,0.0016033920563725834,1.79901891598222e-06,0.001999036566652884,,
2017-01-23,16.88,0.0011862396204032066,-0.001776198934280715,0.0005924170616113944,0.0017804154302669684,0.002379535990481907,0.001191185229303171,0.0011862396204032066,0.0008324818336965523,0.0016031177189464408,1.79901891598222e-06,0.001999036566652884,,
2017-01-24,16.87,-0.0005924170616112834,0.0011862396204032066,-0.001776198934280715,0.0005924170616113944,0.0017804154302669684,0.002379535990481907,-0.0017772511848339612,0.0002380912232779142,0.0014274457075711844,0.00012028243123825,0.0019152317726373756,,
2017-01-25,16.85,-0.0011855364552459946,-0.0005924170616112834,0.0011862396204032066,-0.001776198934280715,0.0005924170616113944,0.0017804154302669684,-0.0029673590504450953,-0.00035509915382467836,0.0012287170832226773,0.00029846469075816006,0.0016622327205394675,,
2017-01-26,16.8,-0.0029673590504450953,-0.0011855364552459946,-0.0005924170616112834,0.0011862396204032066,-0.001776198934280715,0.0005924170616113944,0.0017857142857140573,-0.0010670543762359764,0.0015354719370438182,-0.0001768426428577552,0.0018577669179273629,,
2017-01-27,16.8,0.0,-0.0029673590504450953,-0.0011855364552459946,-0.0005924170616112834,0.0011862396204032066,-0.001776198934280715,-0.002376708259061111,-0.0007118145893798333,0.0015358579674410223,6.082818304835591e-05,0.0016894664400408331,,
2017-01-30,16.7,-0.005952380952381042,0.0,-0.0029673590504450953,-0.0011855364552459946,-0.0005924170616112834,0.0011862396204032066,0.001191185229303171,-0.002139538703936683,0.0024033509975613823,-0.0006535284351200654,0.0024825299582706536,-0.0008548330264001481,0.0034336121809398247
2017-01-31,16.64,-0.003592814371257358,-0.005952380952381042,0.0,-0.0029673590504450953,-0.0011855364552459946,-0.0005924170616112834,0.002379535990481907,-0.002739618165865898,0.002292505837279678,-0.001250763471293992,0.002388389044793051,-0.0013876226560872063,0.002930166787552687
2017-02-01,16.61,-0.0018028846153846922,-0.003592814371257358,-0.005952380952381042,0.0,-0.0029673590504450953,-0.0011855364552459946,0.0017804154302669684,-0.0028630877978936377,0.0022027487423100546,-0.0016090934758591579,0.0021388576485371854,-0.0010394267348985242,0.0023667321689681943
2017-02-02,16.51,-0.006020469596628386,-0.0018028846153846922,-0.003592814371257358,-0.005952380952381042,0.0,-0.0029673590504450953,0.0005924170616113944,-0.0034737099071302955,0.002622131700278602,-0.002270382141683136,0.002390094651849138,-0.0010751200260506965,0.002438760577394105
2017-02-03,16.48,-0.00181708055723806,-0.006020469596628386,-0.0018028846153846922,-0.003592814371257358,-0.005952380952381042,0.0,-0.001776198934280715,-0.0038371260185779076,0.0020928271875715453,-0.0022744703039788705,0.0023891902430287263,-0.001136335642531444,0.0024413801646820067
