category,valor
2024-12-05,1055
2024-12-06,1050
2024-12-07,1050
2024-12-08,1050
2024-12-09,1065
2024-12-10,1070
2024-12-11,1080
2024-12-12,1095
2024-12-13,1105
2024-12-14,1105
2024-12-15,1105
2024-12-16,1125
2024-12-17,1165
2024-12-18,1205
2024-12-19,1175
2024-12-20,1160
2024-12-21,1160
2024-12-22,1160
2024-12-23,1200
2024-12-24,1200
2024-12-25,1200
2024-12-26,1210
2024-12-27,1215
2024-12-28,1215
2024-12-29,1215
2024-12-30,1230
2024-12-31,1230
2025-01-01,1230
2025-01-02,1215
2025-01-03,1205
2025-01-04,1205
2025-01-05,1205
2025-01-06,1205
2025-01-07,1215
2025-01-08,1220
2025-01-09,1220
2025-01-10,1225
2025-01-11,1225
2025-01-12,1225
2025-01-13,1250
2025-01-14,1240
2025-01-15,1225
2025-01-16,1235
2025-01-17,1235
2025-01-18,1235
2025-01-19,1235
2025-01-20,1240
2025-01-21,1235
2025-01-22,1240
2025-01-23,1240
2025-01-24,1225
2025-01-25,1225
2025-01-26,1225
2025-01-27,1230
2025-01-28,1230
2025-01-29,1220
2025-01-30,1220
2025-01-31,1220
2025-02-01,1220
2025-02-02,1220
2025-02-03,1220
2025-02-04,1215
2025-02-05,1215
2025-02-06,1210
2025-02-07,1205
2025-02-08,1205
2025-02-09,1205
2025-02-10,1205
2025-02-11,1215
2025-02-12,1220
2025-02-13,1225
2025-02-14,1220
2025-02-15,1220
2025-02-16,1220
2025-02-17,1235
2025-02-18,1235
2025-02-19,1225
2025-02-20,1225
2025-02-21,1230
2025-02-22,1230
2025-02-23,1230
2025-02-24,1240
2025-02-25,1240
2025-02-26,1230
2025-02-27,1225
2025-02-28,1230
2025-03-01,1230
2025-03-02,1230
2025-03-03,1230
2025-03-04,1230
2025-03-05,1225
2025-03-06,1215
2025-03-07,1215
2025-03-08,1215
2025-03-09,1215
2025-03-10,1225
2025-03-11,1220
2025-03-12,1230
2025-03-13,1235
2025-03-14,1240
2025-03-15,1240
2025-03-16,1240
2025-03-17,1255
2025-03-18,1285
2025-03-19,1280
2025-03-20,1265
2025-03-21,1280
2025-03-22,1280
2025-03-23,1280
2025-03-24,1280
2025-03-25,1295
2025-03-26,1310
2025-03-27,1300
2025-03-28,1300
2025-03-29,1300
2025-03-30,1300
2025-03-31,1325
2025-04-01,1315
2025-04-02,1315
2025-04-03,1310
2025-04-04,1310
2025-04-05,1310
2025-04-06,1310
