fecha,dolar_blue
2018-03-06,20.43
2018-03-07,20.5
2018-03-08,20.51
2018-03-09,20.61
2018-03-12,20.69
2018-03-13,20.67
2018-03-14,20.77
2018-03-15,20.82
2018-03-16,20.89
2018-03-19,20.92
2018-03-20,20.97
2018-03-21,20.98
2018-03-22,20.9
2018-03-23,20.94
2018-03-26,20.88
2018-03-27,20.76
2018-03-28,20.76
2018-04-03,20.82
2018-04-04,20.6
2018-04-05,20.38
2018-04-06,20.64
2018-04-09,20.51
2018-04-10,20.4
2018-04-11,20.44
2018-04-12,20.48
2018-04-13,20.47
2018-04-16,20.48
2018-04-17,20.61
2018-04-18,20.63
2018-04-19,20.55
2018-04-20,20.58
2018-04-23,20.57
2018-04-24,20.59
2018-04-25,20.56
2018-04-26,20.68
2018-04-27,20.88
2018-05-02,21.1
2018-05-03,21.55
2018-05-04,21.7
2018-05-07,22.0
2018-05-08,22.7
2018-05-09,23.15
2018-05-10,23.3
2018-05-11,24.25
2018-05-14,26.8
2018-05-15,24.8
2018-05-16,25.0
2018-05-17,25.2
2018-05-18,25.4
2018-05-21,25.4
2018-05-22,25.4
2018-05-23,25.4
2018-05-24,25.55
2018-05-28,25.85
2018-05-29,25.85
2018-05-30,25.9
2018-05-31,25.97
2018-06-01,26.0
2018-06-04,26.0
2018-06-05,25.9
2018-06-06,25.55
2018-06-07,25.55
2018-06-08,25.8
2018-06-11,26.1
2018-06-12,26.3
2018-06-13,26.6
2018-06-14,27.9
2018-06-15,28.1
2018-06-18,28.15
2018-06-19,28.35
2018-06-21,28.0
2018-06-22,27.95
2018-06-25,27.95
2018-06-26,28.0
2018-06-27,27.95
2018-06-28,28.15
2018-06-29,28.95
2018-07-02,28.95
2018-07-03,29.0
2018-07-04,28.95
2018-07-05,28.9
2018-07-06,28.9
2018-07-10,28.5
2018-07-11,28.43
2018-07-12,28.45
2018-07-13,28.68
2018-07-16,28.85
2018-07-17,28.8
2018-07-18,28.65
2018-07-19,28.65
2018-07-20,28.75
2018-07-23,28.67
2018-07-24,28.6
2018-07-25,28.6
2018-07-26,28.55
2018-07-27,28.6
2018-07-30,28.4
2018-07-31,28.25
2018-08-01,28.2
2018-08-02,28.15
2018-08-03,28.05
2018-08-06,28.1
2018-08-07,27.75
2018-08-08,27.8
2018-08-09,27.95
2018-08-10,29.0
2018-08-13,29.7
2018-08-14,29.3
2018-08-15,29.8
2018-08-16,29.65
2018-08-17,29.9
2018-08-21,30.35
2018-08-22,30.75
2018-08-23,31.0
2018-08-24,31.65
2018-08-27,32.45
2018-08-28,33.3
2018-08-29,34.15
2018-08-30,40.0
2018-08-31,37.5
2018-09-03,38.0
2018-09-04,38.5
2018-09-05,38.5
2018-09-06,36.75
2018-09-07,36.5
2018-09-10,37.25
2018-09-11,38.5
2018-09-12,38.0
2018-09-13,38.75
2018-09-14,39.0
2018-09-17,40.0
2018-09-18,39.75
2018-09-19,39.0
2018-09-20,38.75
2018-09-21,38.25
2018-09-24,38.25
2018-09-25,38.25
2018-09-26,38.25
2018-09-27,38.5
2018-09-28,39.75
2018-10-01,38.5
2018-10-02,38.5
2018-10-03,38.5
2018-10-04,38.0
2018-10-05,38.0
2018-10-08,37.75
2018-10-09,37.5
2018-10-10,37.5
2018-10-11,37.5
2018-10-12,37.75
2018-10-16,37.0
2018-10-17,37.0
2018-10-18,37.25
2018-10-19,37.0
2018-10-22,36.5
2018-10-23,37.0
2018-10-24,37.0
2018-10-25,36.75
2018-10-26,36.75
2018-10-29,36.5
2018-10-30,36.0
2018-10-31,35.75
2018-11-01,35.5
2018-11-02,35.5
2018-11-05,35.25
2018-11-06,35.25
2018-11-07,35.0
2018-11-08,34.75
2018-11-09,34.75
2018-11-12,35.25
2018-11-13,36.25
2018-11-14,35.75
2018-11-15,35.25
2018-11-16,35.5
2018-11-20,35.5
2018-11-21,35.75
2018-11-22,35.75
2018-11-23,37.0
2018-11-26,38.25
2018-11-27,37.0
2018-11-28,36.75
2018-11-29,36.75
2018-12-03,36.0
2018-12-04,36.5
2018-12-05,37.0
2018-12-06,36.75
2018-12-07,36.75
2018-12-10,37.0
2018-12-11,37.5
2018-12-12,37.5
2018-12-13,37.75
2018-12-14,38.0
2018-12-17,38.25
2018-12-18,39.0
2018-12-19,38.5
2018-12-20,38.25
2018-12-21,38.75
2018-12-26,40.5
2018-12-27,40.0
2018-12-28,40.5
2019-01-02,40.5
2019-01-03,40.25
2019-01-04,40.0
2019-01-07,39.5
2019-01-08,39.25
2019-01-09,39.75
2019-01-10,39.25
2019-01-11,39.25
2019-01-14,39.0
2019-01-15,39.25
2019-01-16,39.25
2019-01-17,39.0
2019-01-18,39.0
2019-01-21,38.75
2019-01-22,38.75
2019-01-23,39.0
2019-01-24,38.5
2019-01-25,38.25
2019-01-28,38.25
2019-01-29,38.5
2019-01-30,38.25
2019-01-31,37.5
2019-02-01,37.75
2019-02-04,37.5
2019-02-05,37.3
2019-02-06,37.25
2019-02-07,37.75
2019-02-08,37.5
2019-02-11,38.0
2019-02-12,38.0
2019-02-13,38.25
2019-02-14,38.5
2019-02-15,38.75
2019-02-18,38.75
2019-02-19,39.0
2019-02-20,39.75
2019-02-21,39.25
2019-02-22,38.75
